step,time_s,satellite,az_deg,el_deg,boresight_lat_deg,boresight_lon_deg,corner1_lat_deg,corner1_lon_deg,corner2_lat_deg,corner2_lon_deg,corner3_lat_deg,corner3_lon_deg,corner4_lat_deg,corner4_lon_deg,targets_hit
1,60,47,37.0119,15.5313,-1.22648,163.304,-1.31008,162.522,-1.91352,163.557,-1.1111,164.226,-0.596405,163.103,1
1,60,48,-0.000305179,-18.4709,26.15,-178.055,26.092,-178.648,25.6151,-178.083,26.1849,-177.486,26.6619,-178.048,1
1,60,49,31.9613,10.6076,45.8599,-135.727,46.1625,-136.583,45.2291,-135.992,45.5173,-134.759,46.434,-135.453,1
1,60,50,-25.7121,15.9485,2.71178,176.312,2.70677,175.704,2.06176,176.369,2.73972,176.893,3.44354,176.265,1
1,60,51,33.5497,-20.0254,23.1818,-157.526,23.2661,-158.226,22.2445,-157.587,23.0487,-156.782,23.9788,-157.495,1
1,60,52,37.7249,-8.42585,43.9601,-119.716,44.358,-120.535,43.1041,-120.137,43.488,-118.822,44.6951,-119.352,2
1,60,53,-27.1376,-20.9977,51.606,-67.1032,52.3013,-67.7844,51.3142,-67.9434,50.9868,-66.5552,51.9326,-66.2474,2
1,60,54,-37.6817,-15.85,31.8181,-25.1656,32.8158,-25.1346,31.6974,-25.976,30.9795,-25.2082,31.9814,-24.2696,1
1,60,56,-26.1841,4.73477,-25.839,23.908,-25.2134,23.9646,-25.8676,23.2367,-26.4219,23.8635,-25.8074,24.6432,2
1,60,57,-11.2081,-24.1242,-46.284,56.8237,-45.7133,56.3573,-46.4481,56.0286,-46.8128,57.225,-46.0919,57.5756,1
1,60,58,26.4841,-5.41313,-50.9069,115.406,-50.6305,114.589,-51.5299,115.014,-51.2058,116.287,-50.3372,115.749,1
1,60,59,-18.7749,-7.02823,-26.8158,151.014,-26.812,150.343,-27.3564,151.033,-26.8223,151.641,-26.2533,150.985,1
1,60,62,-23.5,-22.3927,-38.2134,158.025,-38.242,157.13,-38.7496,157.987,-38.203,158.814,-37.6668,158.024,1
1,60,63,-31.8776,23.1173,-7.00088,-173.287,-6.99552,-173.909,-7.73017,-173.225,-6.96701,-172.698,-6.14097,-173.333,1
1,60,64,20.4894,5.57439,17.8688,-149.254,17.8119,-149.795,17.3489,-149.152,17.9325,-148.672,18.3651,-149.344,1
1,60,65,28.8917,-3.41944,42.2135,-119.402,42.3533,-120.133,41.5843,-119.495,42.0499,-118.613,42.7843,-119.318,1
1,60,66,22.7812,-4.48528,52.8237,-67.2694,53.2406,-67.7738,52.4508,-67.9844,52.3756,-66.7538,53.1672,-66.5997,3
1,60,68,16.978,-21.0766,11.4585,5.39644,11.9692,5.46652,11.6225,4.78719,10.9529,5.30143,11.3276,5.95152,2
1,60,69,-27.2815,-13.8322,-15.9977,30.1581,-15.3266,30.229,-15.9723,29.5965,-16.5944,30.0822,-16.0031,30.7528,2
1,60,70,-20.7821,9.98109,-32.14,49.7795,-31.6217,50.0335,-31.9549,49.1449,-32.6421,49.547,-32.3466,50.4687,1
1,60,73,-32.2682,19.2012,-31.1408,-164.198,-31.2304,-164.969,-31.8617,-163.956,-31.0205,-163.486,-30.2941,-164.452,1
1,60,75,-35.0366,-14.5354,32.0636,-137.475,31.7196,-138.432,31.5114,-137.073,32.3407,-136.643,32.6521,-137.951,1
1,60,76,30.2083,8.16102,60.0365,-95.931,60.1539,-97.2058,59.3835,-95.9561,59.8973,-94.5097,60.638,-95.8797,2
1,60,77,-15.2874,-12.5961,65.319,-16.8428,65.8959,-17.1139,65.2335,-18.0786,64.78,-16.6277,65.4103,-15.5847,1
1,60,78,-34.0095,-18.0055,37.8213,21.0498,38.674,21.4186,37.9582,20.2598,37.0983,20.7213,37.7013,21.9105,1
1,60,79,-29.9182,-20.252,4.35067,34.9038,5.13982,35.1849,4.54538,34.3304,3.67564,34.643,4.17845,35.5182,3
1,60,80,35.7037,-20.6371,-57.0348,-171.636,-56.8852,-172.71,-57.9236,-171.88,-57.2239,-170.479,-56.2839,-171.473,1
1,60,81,23.0231,19.3346,-24.283,-139.742,-24.4711,-140.346,-24.7796,-139.542,-24.0514,-139.074,-23.7906,-139.91,1
1,60,82,26.3596,2.22752,5.92029,-122.873,5.79135,-123.398,5.38804,-122.664,6.06053,-122.301,6.41492,-123.063,1
1,60,83,25.4038,11.2465,37.2492,-101.699,37.178,-102.396,36.7169,-101.545,37.3333,-100.928,37.7562,-101.828,1
1,60,85,14.8935,22.7673,50.7109,8.68637,51.249,8.53882,50.6675,7.89769,50.1204,8.87986,50.7232,9.4898,2
1,60,86,-38.4443,12.649,25.5269,41.762,26.1505,42.1557,25.6955,40.965,24.9591,41.4364,25.3113,42.695,1
1,60,87,37.4276,17.6254,-10.2252,52.5861,-9.4999,52.8162,-10.1788,51.889,-11.0921,52.3294,-10.297,53.2151,1
1,60,89,26.0641,11.5955,-63.1914,120.593,-62.6833,120.041,-63.4858,119.554,-63.7479,121.249,-62.9186,121.573,1
1,60,90,21.5898,-17.4168,32.6824,-70.0627,32.7984,-70.6728,32.0605,-70.2657,32.5384,-69.4455,33.246,-69.8955,1
1,60,92,-30.5624,-19.6096,41.0202,23.649,41.7784,23.3098,40.8187,22.9307,40.3585,23.9134,41.2589,24.3987,2
1,60,93,32.4633,-4.8578,12.7546,52.7415,13.351,52.811,12.701,52.0203,12.0984,52.6552,12.803,53.3836,1
1,60,95,-25.2294,9.75536,-33.7748,112.749,-33.2115,112.663,-33.9064,112.076,-34.305,112.846,-33.634,113.49,1
1,60,96,6.83113,-20.9019,-47.5495,153.449,-47.1792,152.909,-47.8639,152.76,-47.9205,153.955,-47.2372,154.065,1
1,60,97,26.1411,24.5022,-38.186,-151.712,-38.118,-152.571,-38.7603,-151.789,-38.2301,-150.715,-37.6288,-151.592,1
1,60,98,34.3318,2.85162,-16.7429,-121.922,-16.6914,-122.592,-17.4338,-121.808,-16.7985,-121.164,-16.1228,-122.015,1
