step,time_s,target,satellite,lat_deg,lon_deg,priority,cumulative_return
1,60,7947,73,-31.1408,-164.198,3.84615e-05,0.00784615
1,60,7862,75,32.0636,-137.475,3.84615e-05,0.00784615
1,60,2489,76,60.0365,-95.931,3.84615e-05,0.00784615
1,60,3957,76,60.4748,-96.2882,3.84615e-05,0.00784615
1,60,6284,77,65.319,-16.8428,3.84615e-05,0.00784615
1,60,5011,78,37.8213,21.0498,3.84615e-05,0.00784615
1,60,2399,79,4.89067,34.9489,3.84615e-05,0.00784615
1,60,2578,79,4.35068,34.9038,3.84615e-05,0.00784615
1,60,2909,79,3.82092,34.8993,3.84615e-05,0.00784615
1,60,7848,80,-57.0348,-171.636,3.84615e-05,0.00784615
1,60,7158,81,-24.283,-139.742,3.84615e-05,0.00784615
1,60,6851,82,5.92029,-122.873,3.84615e-05,0.00784615
1,60,3362,83,37.2492,-101.699,3.84615e-05,0.00784615
1,60,5839,85,50.7109,8.68637,3.84615e-05,0.00784615
1,60,5991,85,50.7907,9.03789,3.84615e-05,0.00784615
1,60,4633,86,25.5269,41.762,3.84615e-05,0.00784615
1,60,7674,87,-10.2252,52.5861,3.84615e-05,0.00784615
1,60,6928,89,-63.1914,120.593,3.84615e-05,0.00784615
1,60,7448,90,32.6824,-70.0627,3.84615e-05,0.00784615
1,60,3169,92,41.0202,23.649,3.84615e-05,0.00784615
1,60,5993,92,40.6613,23.6021,3.84615e-05,0.00784615
1,60,7837,93,12.7546,52.7415,3.84615e-05,0.00784615
1,60,6847,95,-33.7748,112.749,3.84615e-05,0.00784615
1,60,7482,96,-47.5495,153.449,3.84615e-05,0.00784615
1,60,7119,97,-38.186,-151.712,3.84615e-05,0.00784615
1,60,7863,98,-16.7429,-121.922,3.84615e-05,0.00784615
1,60,6902,99,12.6384,-103.579,3.84615e-05,0.00784615
1,60,2393,100,64.3312,-96.0169,3.84615e-05,0.00784615
1,60,6195,100,64.4118,-96.228,3.84615e-05,0.00784615
1,60,4626,102,47.0967,88.6026,3.84615e-05,0.00784615
1,60,4763,102,47.2742,88.1784,3.84615e-05,0.00784615
1,60,2409,106,-80.8541,-85.936,3.84615e-05,0.00784615
1,60,4479,106,-81.0477,-87.3807,3.84615e-05,0.00784615
1,60,7232,107,-42.9596,-95.953,3.84615e-05,0.00784615
1,60,4076,110,0.248299,-71.5389,3.84615e-05,0.00784615
1,60,6653,110,-0.356552,-71.4887,3.84615e-05,0.00784615
1,60,2676,112,52.0342,-9.5145,3.84615e-05,0.00784615
1,60,2224,113,45.1982,45.2413,3.84615e-05,0.00784615
1,60,6313,113,45.3144,45.0955,3.84615e-05,0.00784615
1,60,3302,114,28.5676,85.9117,3.84615e-05,0.00784615
1,60,2285,115,-2.04437,105.25,3.84615e-05,0.00784615
1,60,5931,116,-28.6633,136.013,3.84615e-05,0.00784615
1,60,7062,118,-49.9395,-127.549,3.84615e-05,0.00784615
1,60,7385,120,-52.6615,-61.5025,3.84615e-05,0.00784615
1,60,3754,121,-15.7397,-55.1349,3.84615e-05,0.00784615
1,60,6813,122,23.4966,-56.8988,3.84615e-05,0.00784615
1,60,7412,123,59.0884,-47.5255,3.84615e-05,0.00784615
1,60,7420,124,79.6339,45.7771,3.84615e-05,0.00784615
1,60,3617,125,51.553,121.972,3.84615e-05,0.00784615
1,60,5935,125,51.1848,121.922,3.84615e-05,0.00784615
1,60,4105,127,-19.3683,126.62,3.84615e-05,0.00784615
1,60,5670,127,-19.5964,126.379,3.84615e-05,0.00784615
1,60,3081,129,-84.6458,-75.4059,3.84615e-05,0.00784615
1,60,6975,132,-53.5473,-110.379,3.84615e-05,0.00784615
1,60,3242,133,-32.9522,-61.8049,3.84615e-05,0.00784615
1,60,3388,133,-32.8705,-61.0411,3.84615e-05,0.00784615
1,60,3548,134,-5.85657,-38.7392,3.84615e-05,0.00784615
1,60,2223,135,22.0406,-15.2091,3.84615e-05,0.00784615
1,60,2961,136,46.1624,18.7705,3.84615e-05,0.00784615
1,60,5085,136,45.8451,18.6708,3.84615e-05,0.00784615
1,60,3320,137,54.5833,70.1407,3.84615e-05,0.00784615
1,60,3894,137,54.3073,70.3897,3.84615e-05,0.00784615
1,60,2241,138,31.5906,111.696,3.84615e-05,0.00784615
1,60,3811,138,31.545,112.108,3.84615e-05,0.00784615
1,60,4799,138,31.319,112.196,3.84615e-05,0.00784615
1,60,5035,144,-78.6095,-24.3694,3.84615e-05,0.00784615
1,60,5769,144,-78.6025,-21.8123,3.84615e-05,0.00784615
1,60,7601,145,-41.8654,-29.7176,3.84615e-05,0.00784615
1,60,7658,147,30.9749,-22.2523,3.84615e-05,0.00784615
1,60,2686,148,63.1731,-18.7838,3.84615e-05,0.00784615
1,60,4257,148,63.459,-18.0444,3.84615e-05,0.00784615
1,60,7822,149,75.6133,132.319,3.84615e-05,0.00784615
1,60,7126,150,-18.7967,-15.8411,3.84615e-05,0.00784615
1,60,3070,151,10.2767,4.02039,3.84615e-05,0.00784615
1,60,5128,151,10.7916,3.90376,3.84615e-05,0.00784615
1,60,6286,151,10.8359,4.37329,3.84615e-05,0.00784615
1,60,5645,152,31.8998,37.4877,3.84615e-05,0.00784615
1,60,5534,153,48.4189,81.7189,3.84615e-05,0.00784615
1,60,2133,154,35.647,126.609,3.84615e-05,0.00784615
1,60,7441,155,18.7914,164.633,3.84615e-05,0.00784615
1,60,7997,156,-12.6425,-174.849,3.84615e-05,0.00784615
1,60,7609,157,-30.8403,-144.171,3.84615e-05,0.00784615
1,60,6974,158,-49.2984,-103.44,3.84615e-05,0.00784615
1,60,4932,160,-43.3828,-69.0035,3.84615e-05,0.00784615
1,60,7051,162,-6.47551,5.4225,3.84615e-05,0.00784615
1,60,3104,163,15.298,32.847,3.84615e-05,0.00784615
1,60,5740,163,15.7556,32.9062,3.84615e-05,0.00784615
1,60,3065,164,36.8219,65.0534,3.84615e-05,0.00784615
1,60,4106,164,36.4459,65.2399,3.84615e-05,0.00784615
1,60,2529,165,49.8059,116.32,3.84615e-05,0.00784615
1,60,7700,166,33.1936,152.65,3.84615e-05,0.00784615
1,60,7867,168,-18.978,-152.129,3.84615e-05,0.00784615
1,60,7059,169,-39.6779,-119.874,3.84615e-05,0.00784615
1,60,7178,170,-45.3124,27.4858,3.84615e-05,0.00784615
1,60,3814,171,-7.75598,30.098,3.84615e-05,0.00784615
1,60,4386,171,-7.64447,29.9132,3.84615e-05,0.00784615
1,60,3881,172,27.6003,30.6227,3.84615e-05,0.00784615
1,60,6325,172,27.2385,30.6609,3.84615e-05,0.00784615
1,60,6155,173,63.1749,27.4931,3.84615e-05,0.00784615
1,60,7440,174,79.5497,-171.414,3.84615e-05,0.00784615
1,60,7179,175,42.488,-142.4,3.84615e-05,0.00784615
1,60,7447,176,9.54649,-150.681,3.84615e-05,0.00784615
1,60,6971,177,-30.0316,-148.794,3.84615e-05,0.00784615
1,60,3557,179,-77.9094,51.7887,3.84615e-05,0.00784615
1,60,7882,180,-39.9967,33.6099,3.84615e-05,0.00784615
1,60,6797,182,24.521,67.114,3.84615e-05,0.00784615
1,60,3631,183,51.7648,97.281,3.84615e-05,0.00784615
1,60,4756,183,51.9053,96.9122,3.84615e-05,0.00784615
1,60,5788,184,61.1036,161.279,3.84615e-05,0.00784615
1,60,7953,186,3.79736,-133.451,3.84615e-05,0.00784615
1,60,6982,187,-24.8951,-111.783,3.84615e-05,0.00784615
1,60,7591,190,-30.5531,-97.3498,3.84615e-05,0.00784615
1,60,7374,192,-67.0786,25.3659,3.84615e-05,0.00784615
1,60,7095,193,-32.8192,53.7159,3.84615e-05,0.00784615
1,60,7243,194,-0.149635,66.6258,3.84615e-05,0.00784615
1,60,2067,195,30.9555,82.7062,3.84615e-05,0.00784615
1,60,2128,196,60.1148,112.693,3.84615e-05,0.00784615
1,60,2822,197,67.3732,-155.463,3.84615e-05,0.00784615
1,60,3021,197,67.3836,-156.493,3.84615e-05,0.00784615
1,60,4262,197,67.2161,-157.011,3.84615e-05,0.00784615
1,60,2943,198,36.3952,-121.104,3.84615e-05,0.00784615
1,60,4828,198,36.3999,-121.101,3.84615e-05,0.00784615
2,120,7150,0,-20.4364,-84.7729,3.84615e-05,0.0165769
2,120,4236,1,-54.3399,-67.0972,3.84615e-05,0.0165769
2,120,6686,1,-54.0777,-66.7703,3.84615e-05,0.0165769
2,120,3020,2,-76.1322,25.2118,3.84615e-05,0.0165769
2,120,5393,2,-76.8346,25.4581,3.84615e-05,0.0165769
2,120,6072,2,-76.3697,25.431,3.84615e-05,0.0165769
2,120,6440,2,-76.8035,27.0008,3.84615e-05,0.0165769
2,120,7945,4,-13.5595,87.9527,3.84615e-05,0.0165769
2,120,2634,5,22.7057,97.7482,3.84615e-05,0.0165769
2,120,3639,6,53.8242,115.797,3.84615e-05,0.0165769
2,120,4077,6,53.6832,115.508,3.84615e-05,0.0165769
2,120,4745,8,44.003,-112.772,3.84615e-05,0.0165769
2,120,5872,8,44.0416,-112.799,3.84615e-05,0.0165769
2,120,7111,9,13.6368,-99.8767,3.84615e-05,0.0165769
2,120,5512,10,2.41063,111.189,3.84615e-05,0.0165769
2,120,2532,11,32.4422,131.15,3.84615e-05,0.0165769
2,120,2732,11,32.177,131.732,3.84615e-05,0.0165769
2,120,7360,12,44.9967,176.756,3.84615e-05,0.0165769
2,120,7173,13,43.251,-134.108,3.84615e-05,0.0165769
2,120,4161,14,22.3088,-98.5814,3.84615e-05,0.0165769
2,120,5234,15,-0.234795,-70.9147,3.84615e-05,0.0165769
2,120,4919,16,-28.5272,-49.3539,3.84615e-05,0.0165769
2,120,7961,17,-45.877,-9.75563,3.84615e-05,0.0165769
2,120,3263,20,-11.7217,-56.2098,3.84615e-05,0.0165769
2,120,5818,20,-11.3471,-56.0462,3.84615e-05,0.0165769
2,120,6799,20,-11.8629,-56.208,3.84615e-05,0.0165769
2,120,7968,21,-43.4096,-48.6504,3.84615e-05,0.0165769
2,120,3068,22,-79.5719,-10.9957,3.84615e-05,0.0165769
2,120,3897,22,-79.7182,-9.44846,3.84615e-05,0.0165769
2,120,7052,23,-62.8931,110.872,3.84615e-05,0.0165769
2,120,2868,24,-24.0191,117.124,3.84615e-05,0.0165769
2,120,6375,24,-23.9477,117.167,3.84615e-05,0.0165769
2,120,2098,25,11.9882,122.428,3.84615e-05,0.0165769
2,120,3082,25,11.6893,122.8,3.84615e-05,0.0165769
2,120,3908,25,11.5338,122.835,3.84615e-05,0.0165769
2,120,6111,26,46.128,129.13,3.84615e-05,0.0165769
2,120,6984,28,57.5936,-77.8583,3.84615e-05,0.0165769
2,120,7376,28,57.7109,-78.2993,3.84615e-05,0.0165769
2,120,7857,29,25.5721,-65.3868,3.84615e-05,0.0165769
2,120,7993,30,41.1082,-39.9013,3.84615e-05,0.0165769
2,120,7572,31,5.644,-40.9138,3.84615e-05,0.0165769
2,120,7066,32,-30.7265,-42.711,3.84615e-05,0.0165769
2,120,7226,33,-64.3192,-52.1518,3.84615e-05,0.0165769
2,120,2965,34,-75.8893,160.78,3.84615e-05,0.0165769
2,120,3598,35,-41.2015,145.985,3.84615e-05,0.0165769
2,120,6055,35,-41.3988,145.564,3.84615e-05,0.0165769
2,120,6116,35,-41.0401,145.821,3.84615e-05,0.0165769
2,120,4864,36,-4.89657,143.262,3.84615e-05,0.0165769
2,120,4886,36,-5.31705,142.982,3.84615e-05,0.0165769
2,120,7940,37,30.5028,136.215,3.84615e-05,0.0165769
2,120,2584,38,64.9916,142.709,3.84615e-05,0.0165769
2,120,2353,39,76.9323,-23.6937,3.84615e-05,0.0165769
2,120,5855,40,44.8306,-79.3758,3.84615e-05,0.0165769
2,120,7903,41,25.2969,-38.4559,3.84615e-05,0.0165769
2,120,7355,43,-32.5291,3.98286,3.84615e-05,0.0165769
2,120,7156,45,-47.9355,104.393,3.84615e-05,0.0165769
2,120,2512,46,-26.5294,139.619,3.84615e-05,0.0165769
2,120,7378,48,29.6722,-170.014,3.84615e-05,0.0165769
2,120,7258,49,51.3936,-135.065,3.84615e-05,0.0165769
2,120,7101,50,1.7116,-178.577,3.84615e-05,0.0165769
2,120,7569,51,26.6385,-153.859,3.84615e-05,0.0165769
2,120,3669,52,46.9848,-111.592,3.84615e-05,0.0165769
2,120,5545,52,47.4007,-111.49,3.84615e-05,0.0165769
2,120,2163,53,48.0328,-57.4957,3.84615e-05,0.0165769
2,120,5342,56,-26.3082,26.9382,3.84615e-05,0.0165769
2,120,7155,57,-50.3347,68.0023,3.84615e-05,0.0165769
2,120,6884,58,-42.936,116.591,3.84615e-05,0.0165769
2,120,7677,58,-43.0942,116.788,3.84615e-05,0.0165769
2,120,6931,62,-34.4918,163.591,3.84615e-05,0.0165769
2,120,7099,64,24.516,-149.346,3.84615e-05,0.0165769
2,120,3075,65,45.7011,-112.306,3.84615e-05,0.0165769
2,120,5910,65,46.0621,-112.289,3.84615e-05,0.0165769
2,120,3620,66,56.6244,-63.1412,3.84615e-05,0.0165769
2,120,3710,68,9.46456,11.1856,3.84615e-05,0.0165769
2,120,3541,69,-19.9096,33.1929,3.84615e-05,0.0165769
2,120,6924,70,-34.8517,51.9138,3.84615e-05,0.0165769
2,120,2081,71,-68.3589,81.9012,3.84615e-05,0.0165769
2,120,7530,73,-31.929,-162.477,3.84615e-05,0.0165769
2,120,7058,76,60.9145,-94.4033,3.84615e-05,0.0165769
2,120,7623,77,63.04,-3.11293,3.84615e-05,0.0165769
2,120,6620,78,29.299,18.2444,3.84615e-05,0.0165769
2,120,3337,79,-4.51603,33.1124,3.84615e-05,0.0165769
2,120,3361,79,-5.01457,32.9397,3.84615e-05,0.0165769
2,120,4804,79,-5.04887,32.8146,3.84615e-05,0.0165769
2,120,7327,81,-22.028,-144.941,3.84615e-05,0.0165769
2,120,2036,83,43.7278,-104.696,3.84615e-05,0.0165769
2,120,2761,83,44.0856,-104.866,3.84615e-05,0.0165769
2,120,4850,84,64.0186,-51.7291,3.84615e-05,0.0165769
2,120,4812,85,53.4325,13.0221,3.84615e-05,0.0165769
2,120,2490,86,23.3338,42.4231,3.84615e-05,0.0165769
2,120,6029,86,23.2721,42.6277,3.84615e-05,0.0165769
2,120,7730,87,-11.7878,54.5571,3.84615e-05,0.0165769
2,120,7990,90,35.0167,-64.9048,3.84615e-05,0.0165769
2,120,7472,91,48.4199,-15.5526,3.84615e-05,0.0165769
2,120,4164,92,36.2017,29.6545,3.84615e-05,0.0165769
2,120,7748,93,13.2107,56.2981,3.84615e-05,0.0165769
2,120,3122,95,-34.9848,116.449,3.84615e-05,0.0165769
2,120,7518,98,-8.35506,-123.931,3.84615e-05,0.0165769
