step,time_s,target,satellite,lat_deg,lon_deg,priority,cumulative_return
1,60,7582,43,-31.4243,78.7413,3.84615e-05,0.0262692
1,60,6937,44,-46.5692,124.541,3.84615e-05,0.0262692
1,60,6979,45,-47.698,177.505,3.84615e-05,0.0262692
1,60,6814,46,-20.5681,-147.09,3.84615e-05,0.0262692
1,60,7162,47,4.27753,-120.239,3.84615e-05,0.0262692
1,60,1225,48,32.8475,-103.286,0.000384615,0.0262692
1,60,4416,48,33.0435,-103.351,3.84615e-05,0.0262692
1,60,2163,49,48.0328,-57.4957,3.84615e-05,0.0262692
1,60,7261,50,10.9941,-89.1076,3.84615e-05,0.0262692
1,60,7463,51,36.5218,-62.7235,3.84615e-05,0.0262692
1,60,7472,52,48.4199,-15.5526,3.84615e-05,0.0262692
1,60,2253,53,47.3808,37.651,3.84615e-05,0.0262692
1,60,3225,54,24.8944,70.6284,3.84615e-05,0.0262692
1,60,6035,54,24.7795,70.7868,3.84615e-05,0.0262692
1,60,7035,55,-9.6187,91.5273,3.84615e-05,0.0262692
1,60,2921,56,-33.2552,123.535,3.84615e-05,0.0262692
1,60,6877,58,-46.17,-139.207,3.84615e-05,0.0262692
1,60,7308,59,-21.5161,-108.288,3.84615e-05,0.0262692
1,60,6815,60,-53.4794,-179.069,3.84615e-05,0.0262692
1,60,7254,62,-33.9356,-78.1786,3.84615e-05,0.0262692
1,60,2008,63,-2.74588,-54.8184,3.84615e-05,0.0262692
1,60,2639,63,-3.0075,-55.1076,3.84615e-05,0.0262692
1,60,784,65,46.6587,-1.14711,0.000384615,0.0262692
1,60,1304,65,46.9554,-0.911682,0.000384615,0.0262692
1,60,1824,65,47.1072,-0.455444,0.000384615,0.0262692
1,60,5240,65,46.9607,-0.38295,3.84615e-05,0.0262692
1,60,2040,66,49.606,56.547,3.84615e-05,0.0262692
1,60,5541,66,50.2592,56.9428,3.84615e-05,0.0262692
1,60,6243,66,49.8207,56.8832,3.84615e-05,0.0262692
1,60,2990,67,27.2002,98.1394,3.84615e-05,0.0262692
1,60,6039,67,27.054,98.4198,3.84615e-05,0.0262692
1,60,4963,68,0.516006,123.064,3.84615e-05,0.0262692
1,60,363,69,-24.9819,143.5,0.000384615,0.0262692
1,60,1123,69,-25.261,143.753,0.000384615,0.0262692
1,60,1163,69,-25.1042,143.475,0.000384615,0.0262692
1,60,1283,69,-25.1063,143.609,0.000384615,0.0262692
1,60,1323,69,-24.7428,143.732,0.000384615,0.0262692
1,60,1603,69,-24.8675,143.706,0.000384615,0.0262692
1,60,1803,69,-24.8629,143.378,0.000384615,0.0262692
1,60,1843,69,-25.1997,143.272,0.000384615,0.0262692
1,60,7342,72,-53.3944,-56.4039,3.84615e-05,0.0262692
1,60,7708,73,-23.4838,-25.4099,3.84615e-05,0.0262692
1,60,2667,74,11.9795,-12.7885,3.84615e-05,0.0262692
1,60,144,75,47.1903,-1.74278,0.000384615,0.0262692
1,60,584,75,46.4678,-1.15265,0.000384615,0.0262692
1,60,784,75,46.6587,-1.14711,0.000384615,0.0262692
1,60,1064,75,46.777,-1.61516,0.000384615,0.0262692
1,60,1304,75,46.9554,-0.911682,0.000384615,0.0262692
1,60,1504,75,46.9685,-1.32593,0.000384615,0.0262692
1,60,2301,75,47.3464,-1.74951,3.84615e-05,0.0262692
1,60,2540,76,66.2134,49.6743,3.84615e-05,0.0262692
1,60,4102,76,66.3242,48.6058,3.84615e-05,0.0262692
1,60,525,77,57.4327,128.021,0.000384615,0.0262692
1,60,725,77,57.7864,128.215,0.000384615,0.0262692
1,60,805,77,57.8367,127.218,0.000384615,0.0262692
1,60,1565,77,57.9805,127.879,0.000384615,0.0262692
1,60,1845,77,57.9383,128.479,0.000384615,0.0262692
1,60,6591,77,57.9587,128.683,3.84615e-05,0.0262692
1,60,7449,78,25.488,151.373,3.84615e-05,0.0262692
1,60,7434,79,-9.65942,160.149,3.84615e-05,0.0262692
1,60,6162,81,-14.5576,12.1048,3.84615e-05,0.0262692
1,60,2430,82,22.3317,23.2735,3.84615e-05,0.0262692
1,60,3096,82,22.4246,23.5995,3.84615e-05,0.0262692
1,60,6645,82,22.4742,23.3382,3.84615e-05,0.0262692
1,60,2160,83,46.7121,53.6112,3.84615e-05,0.0262692
1,60,6471,83,46.6063,53.5635,3.84615e-05,0.0262692
1,60,5179,84,63.3831,110.002,3.84615e-05,0.0262692
1,60,6770,84,63.258,109.589,3.84615e-05,0.0262692
1,60,6935,87,-20.1429,-152.074,3.84615e-05,0.0262692
1,60,392,90,38.8024,112.703,0.000384615,0.0262692
1,60,752,90,38.9728,112.19,0.000384615,0.0262692
1,60,2443,90,39.2745,111.82,3.84615e-05,0.0262692
1,60,6882,91,46.9446,161.66,3.84615e-05,0.0262692
1,60,7790,93,6.86644,-130.763,3.84615e-05,0.0262692
1,60,7654,94,-22.8093,-107.493,3.84615e-05,0.0262692
1,60,4604,95,-46.2643,-68.0367,3.84615e-05,0.0262692
1,60,7138,96,-45.6616,-15.3899,3.84615e-05,0.0262692
1,60,7477,96,-45.4803,-15.8569,3.84615e-05,0.0262692
1,60,3238,97,-29.5129,23.1061,3.84615e-05,0.0262692
1,60,3739,97,-29.3265,22.9828,3.84615e-05,0.0262692
1,60,7432,98,-1.20021,49.6289,3.84615e-05,0.0262692
1,60,3225,99,24.8944,70.6284,3.84615e-05,0.0262692
1,60,6035,99,24.7795,70.7868,3.84615e-05,0.0262692
