step,time_s,target,satellite,lat_deg,lon_deg,priority,cumulative_return
1,60,2559,69,-15.9977,30.1581,3.84615e-05,0.00784615
1,60,5008,69,-15.9,30.3105,3.84615e-05,0.00784615
1,60,6803,70,-32.14,49.7795,3.84615e-05,0.00784615
1,60,6873,73,-36.7365,-162.45,3.84615e-05,0.00784615
1,60,7862,75,32.0636,-137.475,3.84615e-05,0.00784615
1,60,2489,76,60.0365,-95.931,3.84615e-05,0.00784615
1,60,3957,76,60.4748,-96.2882,3.84615e-05,0.00784615
1,60,6284,77,65.319,-16.8428,3.84615e-05,0.00784615
1,60,7699,78,35.3747,20.5184,3.84615e-05,0.00784615
1,60,7729,78,35.114,20.9798,3.84615e-05,0.00784615
1,60,2399,79,4.89067,34.9489,3.84615e-05,0.00784615
1,60,2578,79,4.35068,34.9038,3.84615e-05,0.00784615
1,60,5782,79,4.92005,35.4129,3.84615e-05,0.00784615
1,60,7508,80,-52.0962,-179.069,3.84615e-05,0.00784615
1,60,7158,81,-24.283,-139.742,3.84615e-05,0.00784615
1,60,6851,82,5.92029,-122.873,3.84615e-05,0.00784615
1,60,2880,83,41.1113,-107.677,3.84615e-05,0.00784615
1,60,5120,85,49.5672,5.4969,3.84615e-05,0.00784615
1,60,5692,85,49.4092,5.30305,3.84615e-05,0.00784615
1,60,2571,86,22.6902,33.8236,3.84615e-05,0.00784615
1,60,7674,87,-10.2252,52.5861,3.84615e-05,0.00784615
1,60,6928,89,-63.1914,120.593,3.84615e-05,0.00784615
1,60,7448,90,32.6824,-70.0627,3.84615e-05,0.00784615
1,60,3169,92,41.0202,23.649,3.84615e-05,0.00784615
1,60,5993,92,40.6613,23.6021,3.84615e-05,0.00784615
1,60,7748,93,13.2107,56.2981,3.84615e-05,0.00784615
1,60,6847,95,-33.7748,112.749,3.84615e-05,0.00784615
1,60,7395,96,-45.2587,154.514,3.84615e-05,0.00784615
1,60,7119,97,-38.186,-151.712,3.84615e-05,0.00784615
1,60,7863,98,-16.7429,-121.922,3.84615e-05,0.00784615
1,60,6902,99,12.6384,-103.579,3.84615e-05,0.00784615
1,60,2393,100,64.3312,-96.0169,3.84615e-05,0.00784615
1,60,6195,100,64.4118,-96.228,3.84615e-05,0.00784615
1,60,4626,102,47.0967,88.6026,3.84615e-05,0.00784615
1,60,4763,102,47.2742,88.1784,3.84615e-05,0.00784615
1,60,2409,106,-80.8541,-85.936,3.84615e-05,0.00784615
1,60,4479,106,-81.0477,-87.3807,3.84615e-05,0.00784615
1,60,7232,107,-42.9596,-95.953,3.84615e-05,0.00784615
1,60,4076,110,0.248299,-71.5389,3.84615e-05,0.00784615
1,60,6653,110,-0.356552,-71.4887,3.84615e-05,0.00784615
1,60,7858,111,29.8306,-45.5883,3.84615e-05,0.00784615
1,60,2676,112,52.0342,-9.5145,3.84615e-05,0.00784615
1,60,2224,113,45.1982,45.2413,3.84615e-05,0.00784615
1,60,6313,113,45.3144,45.0955,3.84615e-05,0.00784615
1,60,2434,114,25.5307,81.9706,3.84615e-05,0.00784615
1,60,2095,115,-4.84265,104.389,3.84615e-05,0.00784615
1,60,2398,116,-27.459,133.624,3.84615e-05,0.00784615
1,60,7062,118,-49.9395,-127.549,3.84615e-05,0.00784615
1,60,5418,120,-49.1706,-69.1506,3.84615e-05,0.00784615
1,60,5475,120,-49.1207,-69.0506,3.84615e-05,0.00784615
1,60,2001,121,-16.3642,-60.2069,3.84615e-05,0.00784615
1,60,6813,122,23.4966,-56.8988,3.84615e-05,0.00784615
1,60,7412,123,59.0884,-47.5255,3.84615e-05,0.00784615
1,60,7420,124,79.6339,45.7771,3.84615e-05,0.00784615
1,60,3617,125,51.553,121.972,3.84615e-05,0.00784615
1,60,5935,125,51.1848,121.922,3.84615e-05,0.00784615
1,60,4105,127,-19.3683,126.62,3.84615e-05,0.00784615
1,60,5670,127,-19.5964,126.379,3.84615e-05,0.00784615
1,60,2184,129,-80.4759,-141.388,3.84615e-05,0.00784615
1,60,6856,132,-47.9356,-110.652,3.84615e-05,0.00784615
1,60,3242,133,-32.9522,-61.8049,3.84615e-05,0.00784615
1,60,3388,133,-32.8705,-61.0411,3.84615e-05,0.00784615
1,60,2024,134,-4.56371,-46.2117,3.84615e-05,0.00784615
1,60,2223,135,22.0406,-15.2091,3.84615e-05,0.00784615
1,60,2961,136,46.1624,18.7705,3.84615e-05,0.00784615
1,60,5085,136,45.8451,18.6708,3.84615e-05,0.00784615
1,60,3004,137,47.616,71.5638,3.84615e-05,0.00784615
1,60,5435,137,47.8661,71.1103,3.84615e-05,0.00784615
1,60,6399,137,47.7626,71.3585,3.84615e-05,0.00784615
1,60,3087,138,33.2217,118.804,3.84615e-05,0.00784615
1,60,3246,138,33.721,118.779,3.84615e-05,0.00784615
1,60,5949,138,32.7593,118.715,3.84615e-05,0.00784615
1,60,5035,144,-78.6095,-24.3694,3.84615e-05,0.00784615
1,60,5769,144,-78.6025,-21.8123,3.84615e-05,0.00784615
1,60,7601,145,-41.8654,-29.7176,3.84615e-05,0.00784615
1,60,7209,147,30.8309,-21.383,3.84615e-05,0.00784615
1,60,2686,148,63.1731,-18.7838,3.84615e-05,0.00784615
1,60,4257,148,63.459,-18.0444,3.84615e-05,0.00784615
1,60,7822,149,75.6133,132.319,3.84615e-05,0.00784615
1,60,7126,150,-18.7967,-15.8411,3.84615e-05,0.00784615
1,60,3070,151,10.2767,4.02039,3.84615e-05,0.00784615
1,60,5128,151,10.7916,3.90376,3.84615e-05,0.00784615
1,60,6286,151,10.8359,4.37329,3.84615e-05,0.00784615
1,60,2697,152,32.7233,38.1964,3.84615e-05,0.00784615
1,60,2519,153,43.8104,79.7611,3.84615e-05,0.00784615
1,60,2133,154,35.647,126.609,3.84615e-05,0.00784615
1,60,7259,155,17.2275,164.814,3.84615e-05,0.00784615
1,60,7225,156,-7.00088,-173.287,3.84615e-05,0.00784615
1,60,7609,157,-30.8403,-144.171,3.84615e-05,0.00784615
1,60,6974,158,-49.2984,-103.44,3.84615e-05,0.00784615
1,60,5418,160,-49.1706,-69.1506,3.84615e-05,0.00784615
1,60,5475,160,-49.1207,-69.0506,3.84615e-05,0.00784615
1,60,7051,162,-6.47551,5.4225,3.84615e-05,0.00784615
1,60,2511,163,17.9537,28.416,3.84615e-05,0.00784615
1,60,5260,163,17.468,28.4279,3.84615e-05,0.00784615
1,60,2577,164,42.5876,61.0549,3.84615e-05,0.00784615
1,60,2930,164,42.813,61.2369,3.84615e-05,0.00784615
1,60,2529,165,49.8059,116.32,3.84615e-05,0.00784615
1,60,7700,166,33.1936,152.65,3.84615e-05,0.00784615
1,60,7867,168,-18.978,-152.129,3.84615e-05,0.00784615
1,60,7059,169,-39.6779,-119.874,3.84615e-05,0.00784615
1,60,7178,170,-45.3124,27.4858,3.84615e-05,0.00784615
1,60,3814,171,-7.75598,30.098,3.84615e-05,0.00784615
1,60,4386,171,-7.64447,29.9132,3.84615e-05,0.00784615
1,60,3881,172,27.6003,30.6227,3.84615e-05,0.00784615
1,60,6325,172,27.2385,30.6609,3.84615e-05,0.00784615
1,60,2222,173,61.834,40.5013,3.84615e-05,0.00784615
1,60,7440,174,79.5497,-171.414,3.84615e-05,0.00784615
1,60,7026,175,44.8787,-152.504,3.84615e-05,0.00784615
1,60,7242,176,8.21878,-149.455,3.84615e-05,0.00784615
1,60,6971,177,-30.0316,-148.794,3.84615e-05,0.00784615
1,60,3322,179,-77.7271,20.6353,3.84615e-05,0.00784615
1,60,7882,180,-39.9967,33.6099,3.84615e-05,0.00784615
1,60,2415,182,28.1518,62.3304,3.84615e-05,0.00784615
1,60,3631,183,51.7648,97.281,3.84615e-05,0.00784615
1,60,4756,183,51.9053,96.9122,3.84615e-05,0.00784615
1,60,2069,184,62.0111,171.509,3.84615e-05,0.00784615
1,60,7527,186,4.79122,-133.558,3.84615e-05,0.00784615
1,60,6982,187,-24.8951,-111.783,3.84615e-05,0.00784615
1,60,7524,190,-35.8085,-98.5412,3.84615e-05,0.00784615
1,60,7374,192,-67.0786,25.3659,3.84615e-05,0.00784615
1,60,6924,193,-34.8517,51.9138,3.84615e-05,0.00784615
1,60,7243,194,-0.149635,66.6258,3.84615e-05,0.00784615
1,60,2000,195,33.9007,85.0037,3.84615e-05,0.00784615
1,60,2128,196,60.1148,112.693,3.84615e-05,0.00784615
1,60,2822,197,67.3732,-155.463,3.84615e-05,0.00784615
1,60,3021,197,67.3836,-156.493,3.84615e-05,0.00784615
1,60,4262,197,67.2161,-157.011,3.84615e-05,0.00784615
1,60,2943,198,36.3952,-121.104,3.84615e-05,0.00784615
1,60,4828,198,36.3999,-121.101,3.84615e-05,0.00784615
2,120,7150,0,-20.4364,-84.7729,3.84615e-05,0.0162308
2,120,4236,1,-54.3399,-67.0972,3.84615e-05,0.0162308
2,120,6686,1,-54.0777,-66.7703,3.84615e-05,0.0162308
2,120,3020,2,-76.1322,25.2118,3.84615e-05,0.0162308
2,120,5393,2,-76.8346,25.4581,3.84615e-05,0.0162308
2,120,6072,2,-76.3697,25.431,3.84615e-05,0.0162308
2,120,6440,2,-76.8035,27.0008,3.84615e-05,0.0162308
2,120,7619,3,-50.6312,74.4976,3.84615e-05,0.0162308
2,120,7945,4,-13.5595,87.9527,3.84615e-05,0.0162308
2,120,2146,5,22.0514,88.8207,3.84615e-05,0.0162308
2,120,2716,6,56.0259,105.269,3.84615e-05,0.0162308
2,120,2863,6,56.007,104.812,3.84615e-05,0.0162308
2,120,3075,8,45.7011,-112.306,3.84615e-05,0.0162308
2,120,5910,8,46.0621,-112.289,3.84615e-05,0.0162308
2,120,7111,9,13.6368,-99.8767,3.84615e-05,0.0162308
2,120,2922,10,1.54141,109.27,3.84615e-05,0.0162308
2,120,2532,11,32.4422,131.15,3.84615e-05,0.0162308
2,120,2732,11,32.177,131.732,3.84615e-05,0.0162308
2,120,7360,12,44.9967,176.756,3.84615e-05,0.0162308
2,120,7173,13,43.251,-134.108,3.84615e-05,0.0162308
2,120,2463,14,21.8432,-101.133,3.84615e-05,0.0162308
2,120,2480,15,-0.0858154,-70.0851,3.84615e-05,0.0162308
2,120,3159,16,-29.5855,-51.165,3.84615e-05,0.0162308
2,120,7961,17,-45.877,-9.75563,3.84615e-05,0.0162308
2,120,3263,20,-11.7217,-56.2098,3.84615e-05,0.0162308
2,120,5818,20,-11.3471,-56.0462,3.84615e-05,0.0162308
2,120,6799,20,-11.8629,-56.208,3.84615e-05,0.0162308
2,120,7968,21,-43.4096,-48.6504,3.84615e-05,0.0162308
2,120,3068,22,-79.5719,-10.9957,3.84615e-05,0.0162308
2,120,3897,22,-79.7182,-9.44846,3.84615e-05,0.0162308
2,120,7052,23,-62.8931,110.872,3.84615e-05,0.0162308
2,120,2868,24,-24.0191,117.124,3.84615e-05,0.0162308
2,120,6375,24,-23.9477,117.167,3.84615e-05,0.0162308
2,120,2098,25,11.9882,122.428,3.84615e-05,0.0162308
2,120,3082,25,11.6893,122.8,3.84615e-05,0.0162308
2,120,3908,25,11.5338,122.835,3.84615e-05,0.0162308
2,120,2514,26,46.5557,137.196,3.84615e-05,0.0162308
2,120,6984,28,57.5936,-77.8583,3.84615e-05,0.0162308
2,120,7376,28,57.7109,-78.2993,3.84615e-05,0.0162308
2,120,7857,29,25.5721,-65.3868,3.84615e-05,0.0162308
2,120,7993,30,41.1082,-39.9013,3.84615e-05,0.0162308
2,120,7248,31,5.07761,-38.9549,3.84615e-05,0.0162308
2,120,7066,32,-30.7265,-42.711,3.84615e-05,0.0162308
2,120,6947,33,-66.0263,-52.6467,3.84615e-05,0.0162308
2,120,2037,34,-80.3435,149.104,3.84615e-05,0.0162308
2,120,3598,35,-41.2015,145.985,3.84615e-05,0.0162308
2,120,6055,35,-41.3988,145.564,3.84615e-05,0.0162308
2,120,6116,35,-41.0401,145.821,3.84615e-05,0.0162308
2,120,4864,36,-4.89657,143.262,3.84615e-05,0.0162308
2,120,4886,36,-5.31705,142.982,3.84615e-05,0.0162308
2,120,7940,37,30.5028,136.215,3.84615e-05,0.0162308
2,120,2584,38,64.9916,142.709,3.84615e-05,0.0162308
2,120,2353,39,76.9323,-23.6937,3.84615e-05,0.0162308
2,120,2726,40,46.3075,-81.2423,3.84615e-05,0.0162308
2,120,7903,41,25.2969,-38.4559,3.84615e-05,0.0162308
2,120,7779,42,-0.61245,-18.2791,3.84615e-05,0.0162308
2,120,7355,43,-32.5291,3.98286,3.84615e-05,0.0162308
2,120,7156,45,-47.9355,104.393,3.84615e-05,0.0162308
2,120,4412,46,-24.4438,134.007,3.84615e-05,0.0162308
2,120,6240,46,-24.5423,134.602,3.84615e-05,0.0162308
2,120,6845,48,32.0255,-173.347,3.84615e-05,0.0162308
2,120,5563,49,53.7325,-132.738,3.84615e-05,0.0162308
2,120,7101,50,1.7116,-178.577,3.84615e-05,0.0162308
2,120,7569,51,26.6385,-153.859,3.84615e-05,0.0162308
2,120,3075,52,45.7011,-112.306,3.84615e-05,0.0162308
2,120,5910,52,46.0621,-112.289,3.84615e-05,0.0162308
2,120,2163,53,48.0328,-57.4957,3.84615e-05,0.0162308
2,120,2414,56,-27.6336,24.1087,3.84615e-05,0.0162308
2,120,7155,57,-50.3347,68.0023,3.84615e-05,0.0162308
2,120,6884,58,-42.936,116.591,3.84615e-05,0.0162308
2,120,7677,58,-43.0942,116.788,3.84615e-05,0.0162308
2,120,6931,62,-34.4918,163.591,3.84615e-05,0.0162308
2,120,7099,64,24.516,-149.346,3.84615e-05,0.0162308
2,120,3075,65,45.7011,-112.306,3.84615e-05,0.0162308
2,120,5910,65,46.0621,-112.289,3.84615e-05,0.0162308
2,120,2949,66,52.2416,-59.7358,3.84615e-05,0.0162308
2,120,2077,68,7.98718,7.228,3.84615e-05,0.0162308
2,120,2066,69,-20.9414,34.5709,3.84615e-05,0.0162308
2,120,2081,71,-68.3589,81.9012,3.84615e-05,0.0162308
2,120,7530,73,-31.929,-162.477,3.84615e-05,0.0162308
2,120,2539,76,66.2501,-102.931,3.84615e-05,0.0162308
2,120,7072,77,59.2383,-12.0489,3.84615e-05,0.0162308
2,120,5144,78,28.7236,15.7657,3.84615e-05,0.0162308
2,120,6317,78,28.7012,16.3943,3.84615e-05,0.0162308
2,120,3337,79,-4.51603,33.1124,3.84615e-05,0.0162308
2,120,3361,79,-5.01457,32.9397,3.84615e-05,0.0162308
2,120,4804,79,-5.04887,32.8146,3.84615e-05,0.0162308
2,120,6878,81,-19.4414,-141.92,3.84615e-05,0.0162308
2,120,2036,83,43.7278,-104.696,3.84615e-05,0.0162308
2,120,2761,83,44.0856,-104.866,3.84615e-05,0.0162308
2,120,4850,84,64.0186,-51.7291,3.84615e-05,0.0162308
2,120,5839,85,50.7109,8.68637,3.84615e-05,0.0162308
2,120,5991,85,50.7907,9.03789,3.84615e-05,0.0162308
2,120,2490,86,23.3338,42.4231,3.84615e-05,0.0162308
2,120,6029,86,23.2721,42.6277,3.84615e-05,0.0162308
2,120,7730,87,-11.7878,54.5571,3.84615e-05,0.0162308
2,120,7368,90,40.903,-67.2909,3.84615e-05,0.0162308
2,120,7472,91,48.4199,-15.5526,3.84615e-05,0.0162308
2,120,4152,92,39.1981,28.8407,3.84615e-05,0.0162308
2,120,2149,95,-34.0783,117.523,3.84615e-05,0.0162308
2,120,7518,98,-8.35506,-123.931,3.84615e-05,0.0162308
2,120,3215,99,18.2124,-97.4809,3.84615e-05,0.0162308
2,120,2972,100,67.6609,-93.7713,3.84615e-05,0.0162308
2,120,3480,101,74.4337,88.6903,3.84615e-05,0.0162308
2,120,2444,102,38.9284,89.1053,3.84615e-05,0.0162308
2,120,2651,102,38.9613,89.4201,3.84615e-05,0.0162308
2,120,3441,102,39.1938,88.9337,3.84615e-05,0.0162308
2,120,6087,102,39.0813,89.5193,3.84615e-05,0.0162308
2,120,7974,104,-30.4382,93.6607,3.84615e-05,0.0162308
2,120,2562,105,-67.7742,101.762,3.84615e-05,0.0162308
2,120,3737,105,-67.6766,102.85,3.84615e-05,0.0162308
2,120,5763,105,-67.2985,102.235,3.84615e-05,0.0162308
2,120,2120,106,-76.8458,-121.113,3.84615e-05,0.0162308
2,120,6899,107,-41.8773,-97.4738,3.84615e-05,0.0162308
2,120,7561,108,-5.97633,-91.401,3.84615e-05,0.0162308
2,120,2503,109,30.6317,-87.026,3.84615e-05,0.0162308
2,120,6792,109,30.423,-87.2152,3.84615e-05,0.0162308
2,120,2020,110,3.83365,-68.5313,3.84615e-05,0.0162308
2,120,7650,111,36.3103,-44.7993,3.84615e-05,0.0162308
2,120,3536,112,53.4151,-0.225235,3.84615e-05,0.0162308
2,120,5022,112,53.7714,-0.0136719,3.84615e-05,0.0162308
2,120,2488,113,42.9567,52.1294,3.84615e-05,0.0162308
