step,time_s,satellite,az_deg,el_deg,boresight_lat_deg,boresight_lon_deg,corner1_lat_deg,corner1_lon_deg,corner2_lat_deg,corner2_lon_deg,corner3_lat_deg,corner3_lon_deg,corner4_lat_deg,corner4_lon_deg,targets_hit
1,60,73,37.8406,9.88136,-23.4435,-25.3997,-23.7061,-26.1953,-24.0714,-24.8936,-23.1232,-24.4764,-22.8723,-25.8278,1
1,60,74,29.1555,24.2704,11.949,-12.8088,11.5894,-13.4851,11.4046,-12.4811,12.3924,-12.0291,12.4934,-13.0889,1
1,60,75,-29.907,21.2275,46.801,-1.63697,46.7011,-2.55475,46.0884,-1.3902,46.9239,-0.769262,47.6331,-1.89704,7
1,60,76,16.5974,-13.5569,66.2656,49.1508,66.5004,47.9686,65.737,48.4387,66.003,50.3117,66.7571,49.8084,2
1,60,77,-26.3532,-20.1891,57.8047,128.251,58.575,128.327,57.8489,127.164,57.1304,128.152,57.7805,129.38,7
1,60,79,28.574,-18.4156,-9.7068,160.075,-9.19122,160.367,-9.33373,159.37,-10.2337,159.739,-10.0161,160.7,1
1,60,82,-37.2632,12.4196,22.3942,23.3284,22.3434,22.5798,21.7189,23.5792,22.4583,23.9992,23.1874,23.044,3
1,60,84,-13.2433,-22.9765,63.4151,110.009,63.804,109.004,63.102,109.118,63.0408,110.868,63.7365,110.866,2
1,60,87,-14.68,16.9237,-20.1503,-152.056,-19.6803,-151.908,-19.9924,-152.577,-20.6237,-152.184,-20.3348,-151.494,1
1,60,90,38.7643,-3.81558,38.9653,112.164,39.3452,111.422,38.168,111.854,38.5162,112.992,39.6528,112.437,3
1,60,93,-32.1959,-23.5021,6.87276,-130.749,7.76219,-130.815,6.83136,-131.352,6.11832,-130.716,6.95792,-130.117,1
1,60,94,13.8788,-15.3899,-22.8403,-107.51,-22.3383,-107.532,-22.8198,-108.123,-23.345,-107.506,-22.8437,-106.941,1
1,60,95,30.0835,20.0114,-46.2363,-67.9996,-45.6219,-68.4454,-46.5608,-68.7447,-46.934,-67.444,-45.9506,-67.2781,1
1,60,96,12.0688,21.6642,-45.7645,-15.2955,-45.546,-16.011,-46.2136,-15.6486,-45.9777,-14.4958,-45.3176,-14.9103,1
1,60,97,21.453,-0.627818,-29.5567,23.0526,-29.4901,22.4582,-30.1144,23.0244,-29.6268,23.6857,-29.0339,23.0798,2
2,120,2,29.5039,21.7788,-76.3403,25.4335,-76.1356,22.274,-77.0026,24.9427,-76.5007,29.2341,-75.7144,26.0147,3
2,120,3,35.899,-12.6262,-50.604,74.5753,-50.7916,73.5057,-51.4402,75.2628,-50.4118,75.7621,-49.8899,73.9902,1
2,120,6,33.3491,18.1764,54.9028,117.165,54.7105,115.805,54.2351,117.646,55.1292,118.766,55.5325,116.762,2
2,120,7,27.565,-19.235,71.863,-177.201,72.3671,-178.385,71.3741,-179.333,71.3107,-176.117,72.2863,-175.284,6
2,120,9,29.5597,-8.37213,13.6133,-99.9491,14.1337,-99.5789,13.9575,-100.648,13.0585,-100.361,13.3105,-99.3236,1
2,120,10,-37.162,14.6885,7.3387,124.535,7.43954,123.836,6.59957,124.613,7.27251,125.168,8.20998,124.457,1
2,120,13,25.6469,-9.50868,42.8015,-116.173,43.3041,-116.395,42.5639,-116.957,42.264,-115.959,43.0192,-115.462,5
2,120,15,6.85067,-17.3204,-2.9696,-55.0911,-2.47463,-55.0755,-2.88583,-55.6125,-3.45299,-55.1237,-3.03284,-54.5978,1
2,120,16,32.1781,-18.0218,-30.8878,-31.5244,-30.3124,-31.4571,-30.863,-32.4509,-31.5003,-31.6324,-30.8877,-30.7241,1
2,120,19,-39.0937,-11.4321,-21.219,97.8032,-21.1491,96.8488,-21.8714,97.9309,-21.2827,98.6119,-20.4874,97.6346,1
2,120,22,-30.4603,5.45662,-77.057,50.1504,-76.4911,49.2986,-77.3313,47.8688,-77.5703,51.0355,-76.7322,52.5866,2
2,120,23,31.1883,-22.9892,-60.4431,147.924,-60.6765,146.889,-61.1807,148.618,-60.2234,149.026,-59.8192,147.318,1
2,120,27,24.6568,-5.40894,77.2658,-135.014,77.4716,-137.134,76.7255,-135.855,77.0218,-132.847,77.7606,-134.194,1
2,120,30,-30.5849,18.8717,35.3503,20.5473,35.6504,21.1737,35.8756,20.0538,35.0407,19.9791,34.7308,21.0892,2
2,120,31,23.9106,2.56213,1.37046,13.1122,1.70591,13.5139,1.75256,12.7161,1.00735,12.6791,1.00989,13.4797,2
2,120,33,-29.6454,10.7137,-71.5479,15.3109,-71.1908,16.7764,-71.1231,13.9901,-71.8816,13.9275,-72.0207,16.844,2
2,120,38,-34.3376,17.3759,71.3168,176.41,70.8074,175.219,70.9849,178.333,71.7964,177.494,71.6949,174.108,4
2,120,40,-29.6397,-3.24209,46.3376,4.4546,47.0027,4.30867,46.1561,3.64037,45.7361,4.58212,46.5359,5.34697,2
2,120,41,33.3493,18.2598,16.0096,33.5923,16.7522,33.6237,15.9263,32.9043,15.1418,33.5766,16.0538,34.2343,2
2,120,46,-9.17894,-20.4342,-20.6039,-147.108,-20.7005,-147.725,-21.1351,-147.108,-20.5318,-146.534,-20.0862,-147.132,1
2,120,47,12.6502,-24.0534,5.87632,-122.82,5.7746,-123.363,5.23701,-122.839,5.94641,-122.287,6.4557,-122.827,1
2,120,48,12.6076,-20.0968,32.8747,-96.5564,32.8815,-97.1875,32.2781,-96.6723,32.8416,-95.9348,33.4252,-96.471,3
2,120,50,39.0288,9.77272,7.98906,-80.8632,7.97749,-81.688,7.20445,-80.5993,8.00872,-79.8907,8.68722,-81.076,1
2,120,51,-29.8918,-23.4243,36.5339,-62.7233,36.4588,-63.844,35.9099,-62.6925,36.5661,-61.7634,37.182,-62.8098,1
2,120,53,-37.5595,10.0499,45.174,45.243,45.9633,45.3042,44.9913,44.1581,44.4704,45.219,45.3657,46.5227,2
2,120,54,-35.2834,11.6475,19.5678,75.9973,20.2753,76.223,19.6068,75.1964,18.9215,75.817,19.5067,76.9243,2
2,120,55,-33.1388,23.8829,-9.78259,99.5411,-9.1166,99.7328,-9.63988,98.7061,-10.4214,99.405,-9.97861,100.532,1
2,120,57,16.7079,-8.51458,-52.7441,166.769,-52.308,166.263,-53.0883,165.974,-53.1976,167.287,-52.4115,167.494,1
2,120,58,-35.0625,-11.1863,-39.964,-143.323,-39.7095,-144.4,-40.6264,-143.412,-40.1849,-142.388,-39.23,-143.256,1
2,120,60,29.6273,-19.0609,-53.5122,-179.058,-52.9665,-179.277,-53.7023,179.7,-54.094,-178.87,-53.3199,-177.995,1
2,120,63,-25.9581,-22.6434,0.684117,-59.259,0.468887,-59.9693,0.148805,-59.141,0.851835,-58.6333,1.22588,-59.4124,1
2,120,65,-31.4284,-24.2436,53.4275,-0.20467,53.5879,-1.6409,52.8568,-0.421131,53.2558,0.995819,54.0338,-0.0419825,2
2,120,68,9.72935,19.6854,-3.05925,124.269,-2.54576,124.325,-2.96813,123.783,-3.6146,124.228,-3.17279,124.762,1
2,120,69,-13.884,-24.2039,-27.439,146.152,-26.8192,146.099,-27.3675,145.565,-27.9999,146.175,-27.4784,146.729,1
2,120,70,36.4436,-6.0953,-47.8603,177.512,-47.2526,177.963,-47.6695,176.303,-48.534,176.972,-48.0129,178.57,1
2,120,72,21.5575,-15.8697,-53.9825,-48.3229,-54.0645,-49.2465,-54.6414,-48.1724,-53.912,-47.3703,-53.3888,-48.4793,1
2,120,74,30.1598,19.8742,14.9044,-11.6897,14.5933,-12.3652,14.3576,-11.3479,15.282,-10.9157,15.4379,-11.9855,2
2,120,75,-36.9514,-13.4191,47.1302,-3.18842,46.8532,-4.47597,46.5367,-2.7166,47.3434,-2.07713,47.7733,-3.76218,6
2,120,77,30.8113,24.0793,47.5532,128.927,48.3291,129.005,47.5502,127.966,46.6375,128.88,47.5059,129.843,2
2,120,78,-23.2537,-20.4756,22.2838,152.699,22.9784,152.937,22.4915,152.129,21.6742,152.47,22.0973,153.291,1
2,120,83,18.3365,-11.6915,49.5884,56.5263,49.6278,55.7764,49.0353,56.448,49.5296,57.2939,50.1005,56.5852,2
2,120,84,36.7001,18.2563,57.4013,123.66,58.0544,122.963,56.9479,122.74,56.6317,124.484,57.7842,124.555,5
2,120,85,19.4637,7.06736,38.184,168.213,38.6854,168.301,38.218,167.566,37.6446,168.128,38.1399,168.833,1
2,120,89,37.1188,16.7024,-64.2779,-52.0524,-63.9539,-53.5903,-64.9471,-52.3737,-64.6237,-50.1722,-63.6772,-51.7107,1
2,120,90,-36.1993,5.24699,47.7289,114.486,48.1456,113.601,47.0892,114.136,47.3608,115.271,48.4592,114.9,1
2,120,91,-19.422,-15.5299,46.297,165.26,46.8177,164.8,46.0463,164.61,45.8138,165.655,46.5661,165.917,1
2,120,93,37.2725,-6.86534,-1.89929,-132.244,-1.25588,-132.109,-1.93673,-133.062,-2.62025,-132.41,-1.86277,-131.536,1
2,120,95,-15.5935,-17.8118,-42.3242,-66.0916,-41.8116,-66.4932,-42.5371,-66.7215,-42.8008,-65.7366,-42.0886,-65.4764,1
2,120,97,-36.0393,-8.65502,-23.4762,21.3602,-23.3511,20.4949,-24.1112,21.4076,-23.5868,22.1111,-22.7698,21.2889,1
3,180,0,36.1532,-4.61497,-25.2584,-90.3721,-24.6947,-89.875,-24.896,-91.2449,-25.8826,-90.9491,-25.5691,-89.6065,1
3,180,2,15.74,-18.2478,-75.1691,20.1229,-74.9473,18.0845,-75.7556,18.8632,-75.3954,22.19,-74.6198,21.1293,2
3,180,6,36.9513,-2.29835,55.6809,118.929,55.6527,117.614,54.8463,119.377,55.6857,120.425,56.408,118.526,9
3,180,8,-29.9552,20.4203,43.1313,-103.277,43.6791,-102.731,43.5168,-104.196,42.5892,-103.745,42.6541,-102.242,2
3,180,10,-38.1572,-0.914271,9.01007,125.552,9.05578,124.763,8.35359,125.707,8.97231,126.24,9.75882,125.369,3
3,180,11,-25.4747,-13.4981,33.2809,152.639,33.2982,151.866,32.753,152.644,33.2499,153.332,33.8353,152.611,1
3,180,13,-26.814,24.336,43.7918,-104.75,44.3563,-104.863,43.6914,-105.669,43.2474,-104.593,43.8728,-103.68,2
3,180,21,21.0164,6.66317,-53.0702,-11.2597,-52.6417,-10.8142,-52.8289,-12.0094,-53.5333,-11.7425,-53.3028,-10.5434,1
3,180,22,-17.6206,7.36349,-79.0109,67.4658,-78.634,65.8293,-79.3448,65.5525,-79.3604,69.1851,-78.6461,69.4071,1
3,180,29,29.3429,-18.9483,19.9442,-27.4491,20.362,-27.0856,20.3904,-28.0599,19.5213,-27.8528,19.5664,-26.9085,1
3,180,32,35.2084,-20.9224,-35.7254,8.69911,-35.4211,9.33682,-34.9933,8.07314,-36.0162,7.98172,-36.3286,9.25497,1
3,180,33,-39.7153,8.51521,-75.2066,19.9941,-74.7441,22.3249,-74.7667,17.7088,-75.6065,17.8679,-75.6983,22.8376,1
3,180,37,-38.9283,-7.31954,37.1173,-172.092,36.5126,-172.809,36.8073,-171.365,37.6292,-171.464,37.4487,-172.933,1
3,180,38,-19.8613,-9.22371,72.8993,179.937,72.4102,179.04,72.6657,-178.598,73.3444,-179.166,73.1207,178.357,3
3,180,39,18.446,22.3076,67.6529,17.492,68.0625,18.5332,68.0226,16.5495,67.1738,16.4161,67.2596,18.3532,2
3,180,41,35.2457,-1.43819,14.6488,34.2503,15.2966,34.3859,14.6153,33.4667,13.9212,34.0919,14.674,34.9431,14
3,180,42,-17.5525,6.79296,-10.8006,61.512,-10.2723,61.5917,-10.7502,60.9752,-11.311,61.4432,-10.8592,62.0847,1
3,180,46,25.9014,-14.1722,-19.4928,-141.802,-19.5022,-142.393,-20.1821,-141.761,-19.5015,-141.181,-18.8772,-141.852,1
3,180,48,37.0221,-10.2803,33.666,-90.6107,33.8589,-91.3778,32.7998,-90.6818,33.424,-89.7654,34.4103,-90.558,3
3,180,52,36.7577,10.0279,47.6722,-3.8922,48.2427,-4.66774,47.02,-4.50406,47.0079,-3.00095,48.2416,-3.30672,5
3,180,60,20.3746,-15.2443,-54.307,-171.912,-53.8387,-172.251,-54.5253,-172.882,-54.794,-171.585,-54.0895,-171.046,1
3,180,63,-38.6515,-12.7955,5.34846,-58.1577,5.21889,-59.0497,4.73895,-57.913,5.44692,-57.4008,6.02231,-58.4578,1
3,180,65,-30.9589,1.76725,55.8702,10.0186,56.2087,9.04819,55.3221,9.63404,55.5601,10.89,56.4766,10.4565,2
3,180,67,-33.3199,17.7149,25.32,108.073,25.924,108.295,25.4254,107.303,24.7513,107.899,25.174,108.964,3
3,180,68,-14.2254,-12.2596,-2.71513,126.248,-2.17785,126.318,-2.63353,125.766,-3.21573,126.172,-2.78441,126.738,3
3,180,69,22.4111,21.2878,-35.5271,149.433,-34.9258,149.403,-35.5425,148.771,-36.2032,149.494,-35.5364,150.084,2
3,180,70,34.8096,-10.0046,-50.686,179.985,-50.0945,-179.592,-50.4849,178.718,-51.3292,179.475,-50.8418,-178.903,1
3,180,73,40.1542,-1.294,-17.774,-23.1901,-17.966,-23.9636,-18.5232,-22.666,-17.5569,-22.2933,-17.1272,-23.6327,1
3,180,77,37.7545,5.02081,45.6922,128.977,46.4085,129.264,45.6687,127.836,44.8627,128.657,45.6911,129.984,8
3,180,78,24.6967,0.226305,15.1385,150.331,15.6512,150.588,15.3393,149.732,14.5858,150.054,14.9487,150.886,1
3,180,79,38.0889,-4.44939,-18.5224,161.611,-17.9322,162.027,-18.2554,160.745,-19.185,161.122,-18.7494,162.361,1
3,180,81,36.0493,-0.0983403,-7.18072,15.0228,-7.29491,14.3955,-7.83001,15.3285,-7.05486,15.7327,-6.60517,14.7567,2
3,180,82,-22.5524,-5.23408,26.636,27.563,26.501,26.954,26.1571,27.7361,26.7551,28.1286,27.1401,27.3706,2
3,180,84,22.1371,-12.3924,58.7733,125.641,59.2316,125.245,58.5206,124.613,58.2893,126.016,59.0058,126.583,6
3,180,90,35.897,11.6107,42.0554,123.117,42.457,122.32,41.4009,122.789,41.5916,124.036,42.638,123.444,1
3,180,96,28.3906,-16.196,-45.9914,-9.65029,-45.7176,-10.3503,-46.6381,-10.1217,-46.2974,-8.92044,-45.4135,-9.26243,1
3,180,97,18.9975,-8.25242,-24.8309,28.1741,-24.7899,27.618,-25.3964,28.1412,-24.8816,28.7511,-24.305,28.1969,1
4,240,3,-30.66,-18.8101,-41.598,67.9742,-41.9685,66.8909,-42.1689,68.3764,-41.2873,68.9101,-41.0069,67.5135,1
4,240,6,37.0272,1.17523,58.9828,123.314,58.994,121.845,58.1578,123.721,58.9451,124.994,59.7077,122.955,3
4,240,8,-34.917,5.4648,41.4126,-101.855,42.0332,-101.217,41.7004,-102.768,40.8465,-102.403,41.0728,-100.824,15
4,240,12,-29.6888,-19.9146,51.7299,-159.569,52.1229,-160.642,51.2448,-160.023,51.3659,-158.668,52.2542,-159.125,1
4,240,13,-14.6299,19.6049,41.1456,-102.287,41.6384,-102.419,41.0651,-102.991,40.6549,-102.127,41.2097,-101.513,10
4,240,15,-20.7996,22.0556,-9.83266,-46.4335,-9.30599,-46.3728,-9.74554,-47.0276,-10.3574,-46.4652,-9.95136,-45.7695,3
4,240,24,-33.8925,-10.7546,-15.3635,152.68,-15.7585,152.04,-15.7876,153.084,-15.0239,153.241,-14.9101,152.224,1
