step,time_s,satellite,lat_deg,lon_deg,alt_km,battery,sensing,az_cmd_deg,el_cmd_deg
1,60,2,-74.7962,-1.92553,594.452,0.92,1,39.7998,6.07843
1,60,3,-51.1592,67.6536,594.452,0.92,1,30.5902,5.30044
1,60,4,-17.174,82.56,594.452,0.92,1,-32.5135,-21.602
1,60,5,17.5254,92.3004,594.452,0.92,1,17.9077,9.25865
1,60,6,51.491,107.347,594.452,0.92,1,-11.0282,23.3005
1,60,7,74.7962,178.074,594.452,0.92,1,29.4297,7.20699
1,60,8,51.1592,-112.346,594.452,0.92,1,-31.3044,-12.6911
1,60,9,17.174,-97.44,594.452,0.92,1,-33.7849,4.57514
1,60,10,0.84792,124.099,524.361,0.92,1,33.2961,-4.85637
1,60,11,27.3524,149.505,524.361,0.92,1,27.6919,-0.376253
1,60,12,46.7713,-171.717,524.361,0.92,1,35.8564,10.2316
1,60,13,46.0116,-118.493,524.361,0.92,1,30.2913,16.2814
1,60,14,25.8182,-80.944,524.361,0.92,1,-13.6359,-20.4059
1,60,15,-0.847926,-55.9005,524.361,0.92,1,32.1211,20.2206
1,60,16,-27.3523,-30.4953,524.361,0.92,1,32.0445,16.6791
1,60,17,-46.7713,8.28347,524.361,0.92,1,26.0284,-3.58271
1,60,18,-46.0116,61.5073,524.361,1,0,-36.3805,-19.8901
1,60,19,-25.8182,99.056,524.361,1,0,-33.3494,-25
1,60,20,-9.36779,-19.0356,507.688,1,0,-40.1068,8.86905
1,60,21,-44.7013,-11.0605,507.688,0.92,1,34.3566,3.12623
1,60,22,-77.2574,27.3015,507.688,0.92,1,30.1388,19.5406
1,60,23,-61.0181,141.737,507.688,0.92,1,15.4145,-15.1116
1,60,24,-26.1065,154.659,507.688,0.92,1,-21.3373,-13.5186
1,60,25,9.36777,160.964,507.688,0.92,1,31.1507,5.0614
1,60,26,44.7013,168.94,507.688,0.92,1,-31.6811,10.3655
1,60,27,77.2574,-152.699,507.688,0.92,1,40.3317,0.738591
1,60,28,61.0181,-38.2629,507.688,0.92,1,36.6999,-18.528
1,60,29,26.1065,-25.3406,507.688,1,0,-33.5066,25
1,60,30,41.2398,17.8102,516.838,0.92,1,-31.6597,-24.8199
1,60,31,5.29241,15.6346,516.838,0.92,1,35.0817,4.62442
1,60,32,-30.6616,13.7328,516.838,0.92,1,-33.1473,7.96425
1,60,33,-66.5462,8.97045,516.838,0.92,1,-37.2225,9.57063
1,60,34,-77.0046,-152.513,516.838,0.92,1,33.4417,-8.5949
1,60,35,-41.2398,-162.19,516.838,1,0,-8.60375,-22.0032
1,60,36,-5.29242,-164.365,516.838,0.92,1,35.5617,-20.3479
1,60,37,30.6616,-166.267,516.838,0.92,1,38.1003,14.7353
1,60,38,66.5462,-171.03,516.838,0.92,1,21.2124,-13.9079
1,60,39,77.0046,27.4874,516.838,0.92,1,-34.3195,-13.3476
1,60,40,45.6259,-1.64941,549.801,0.92,1,-17.7631,-18.1785
1,60,41,22.5501,32.4379,549.801,0.92,1,-6.69293,22.8029
1,60,42,-5.4102,55.623,549.801,0.92,1,-6.994,-18.7659
1,60,43,-32.4151,81.1358,549.801,0.92,1,7.88677,-23.1367
1,60,44,-50.6295,123.666,549.801,0.92,1,-38.704,-3.39759
1,60,45,-45.6258,178.351,549.801,0.92,1,-8.67041,17.6216
1,60,46,-22.5501,-147.562,549.801,0.92,1,16.4556,20.9273
1,60,47,5.41019,-124.377,549.801,0.92,1,32.7653,-7.03063
1,60,48,32.4151,-98.8642,549.801,0.92,1,-29.8697,-21.9866
1,60,49,50.6295,-56.3341,549.801,0.92,1,-22.8566,-16.6349
1,60,50,6.89458,-87.1296,572.377,0.92,1,12.9997,15.6334
1,60,51,33.5417,-60.9682,572.377,0.92,1,-31.1458,8.776
1,60,52,50.7137,-17.2368,572.377,0.92,1,25.2699,6.38959
1,60,53,44.4111,36.526,572.377,0.92,1,19.8931,-4.85396
1,60,54,20.9965,69.6904,572.377,0.92,1,-19.4271,4.56873
1,60,55,-6.89457,92.8704,572.377,0.92,1,27.6356,12.4138
1,60,56,-33.5417,119.032,572.377,0.92,1,-19.898,-0.0804931
1,60,57,-50.7137,162.763,572.377,1,0,26.9109,-20.6535
1,60,58,-44.4111,-143.474,572.377,0.92,1,30.1909,15.2457
1,60,59,-20.9965,-110.31,572.377,0.92,1,18.7452,8.86469
1,60,60,-50.2237,-179.558,525.845,0.92,1,29.9989,17.0841
1,60,61,-52.1273,-120.567,525.845,1,0,29.9241,5.77099
1,60,62,-30.5766,-81.0038,525.845,0.92,1,39.3717,-8.73842
1,60,63,-1.93129,-57.9724,525.845,0.92,1,32.3082,11.2479
1,60,64,27.0109,-35.7579,525.845,1,0,37.4951,17.378
1,60,65,50.2237,0.441698,525.845,0.92,1,22.1648,-22.1982
1,60,66,52.1273,59.4333,525.845,0.92,1,29.5178,-7.3837
1,60,67,30.5766,98.9962,525.845,0.92,1,-37.5467,-7.91821
1,60,68,1.93127,122.028,525.845,0.92,1,23.9955,-16.3571
1,60,69,-27.011,144.242,525.845,0.92,1,-9.37341,-22.3286
1,60,70,-43.3413,-179.51,560.918,1,0,24.969,10.8006
1,60,71,-68.1001,-128.916,560.918,1,0,29.8233,21.4155
1,60,72,-54.5803,-53.0805,560.918,0.92,1,19.0931,21.1228
1,60,73,-23.0009,-29.9465,560.918,0.92,1,37.8825,9.53043
1,60,74,10.5264,-16.5555,560.918,0.92,1,39.3845,-8.56676
1,60,75,43.3413,0.489735,560.918,0.92,1,-29.7124,21.1534
1,60,76,68.1001,51.0835,560.918,0.92,1,-14.5858,-21.5739
1,60,77,54.5803,126.92,560.918,0.92,1,-26.1211,-20.2055
1,60,78,23.0009,150.053,560.918,0.92,1,-20.6953,15.9245
